Estacao,Data,Hora,TempMaxima,TempMinima,Temp Comp Media,
82795,17/03/2016,0000,28.5,,23.58,
82795,17/03/2016,1200,,20.8,,
82795,18/03/2016,0000,30.2,,24.24,
82795,18/03/2016,1200,,21.1,,
82795,19/03/2016,0000,30.4,,24.38,
82795,19/03/2016,1200,,20.3,,
82795,20/03/2016,0000,30.8,,24.78,
82795,20/03/2016,1200,,20.3,,
82795,31/03/2016,0000,30.5,,,
82795,01/04/2016,0000,28.4,,24.06,
82795,01/04/2016,1200,,21.4,,
82795,02/04/2016,0000,31.5,,25.1,
82795,02/04/2016,1200,,21.4,,
82795,03/04/2016,0000,30.8,,24.48,
82795,03/04/2016,1200,,21,,
82795,04/04/2016,0000,31.9,,25.02,
82795,04/04/2016,1200,,20.4,,
82795,05/04/2016,0000,32.3,,25.28,
82795,05/04/2016,1200,,21.8,,
82795,06/04/2016,0000,31,,24.48,
82795,06/04/2016,1200,,20.9,,
82795,07/04/2016,0000,32.4,,25.04,
82795,07/04/2016,1200,,20.3,,
82795,08/04/2016,0000,31.6,,24.96,
82795,08/04/2016,1200,,21,,
82795,09/04/2016,0000,31.3,,25.06,
82795,09/04/2016,1200,,21.3,,
82795,10/04/2016,0000,31,,25,
82795,10/04/2016,1200,,21.4,,
82795,11/04/2016,0000,27,,23.78,
82795,11/04/2016,1200,,21.8,,
82795,12/04/2016,0000,26.2,,22.74,
82795,12/04/2016,1200,,20.3,,
82795,13/04/2016,0000,29.1,,24.18,
82795,13/04/2016,1200,,19.9,,
82795,14/04/2016,0000,28.4,,24.1,
82795,14/04/2016,1200,,20.2,,
82795,15/04/2016,0000,28.2,,,
82795,16/04/2016,0000,22.5,,21.36,
82795,16/04/2016,1200,,19.1,,
82795,17/04/2016,0000,24.5,,21.62,
82795,17/04/2016,1200,,18.9,,
82795,18/04/2016,0000,26.7,,22.84,
82795,18/04/2016,1200,,20.2,,
82795,19/04/2016,0000,28.1,,23.06,
82795,19/04/2016,1200,,19.6,,
82795,20/04/2016,0000,28.5,,23.54,
82795,20/04/2016,1200,,20.4,,
82795,21/04/2016,0000,28.2,,23.56,
82795,21/04/2016,1200,,20.9,,
82795,22/04/2016,0000,28.2,,23.52,
82795,22/04/2016,1200,,20.5,,
82795,23/04/2016,0000,28.7,,23.58,
82795,23/04/2016,1200,,20.3,,
82795,24/04/2016,0000,29.1,,23.9,
82795,24/04/2016,1200,,20.4,,
82795,25/04/2016,0000,28.9,,24.12,
82795,25/04/2016,1200,,20.6,,
82795,26/04/2016,0000,29.4,,24.22,
82795,26/04/2016,1200,,21,,
82795,27/04/2016,0000,29.2,,24.14,
82795,27/04/2016,1200,,20.9,,
